feature,n,mae,rmse,max_abs
HOMO-1s-HOMO-3i,52,0.06136950000000004,0.09087415037270799,0.328747
LUMO+1s-LUMO+4i,52,0.05787209615384618,0.09082372704172628,0.389906
HOMO-7s-HOMO-3i,52,0.06137319230769227,0.09080402816526623,0.32622100000000015
LUMO+2s-HOMOi,52,0.048965596153846165,0.09050488958837442,0.298553
LUMO+2s-LUMO+4i,52,0.057154269230769224,0.09033110936842727,0.389922
LUMO+1s-HOMOi,52,0.04927542307692308,0.09026121162364945,0.29675799999999997
LUMOs-HOMOi,52,0.050138576923076925,0.08993359195796384,0.300098
HOMO-6s-HOMO-3i,52,0.059505807692307656,0.08957536476041578,0.325417
HOMO-9s-HOMO-3i,52,0.05943407692307686,0.08952753304366545,0.325338
HOMO-10s-HOMO-3i,52,0.05887823076923071,0.08911798572139329,0.325569
HOMOs-HOMO-3i,52,0.058052538461538475,0.08863199181468541,0.326522
LUMO+9s-HOMO-3i,52,0.05682461538461537,0.08773795461376846,0.32549800000000007
LUMO+3s-LUMO+4i,52,0.053270057692307714,0.08761765674761172,0.384649
LUMO+10s-LUMO+4i,52,0.052413961538461534,0.08710665972177221,0.386196
LUMO+5s-HOMO-3i,52,0.05583559615384616,0.08703494314255007,0.32475
LUMO+7s-HOMO-3i,52,0.05572528846153846,0.08697593821978317,0.323954
LUMO+4s-LUMO+4i,52,0.05126444230769231,0.08643306511633062,0.38656300000000005
LUMO+8s-LUMO+4i,52,0.05109619230769227,0.08635746612705013,0.38696999999999987
LUMO+6s-LUMO+4i,52,0.05094830769230767,0.08616664569600001,0.384904
LUMO+6s-HOMO-3i,52,0.05374623076923078,0.08559276276356548,0.321068
LUMO+8s-HOMO-3i,52,0.053924615384615376,0.08557495655878804,0.3226279999999999
LUMO+4s-HOMO-3i,52,0.05364740384615385,0.08541655342215132,0.32186800000000004
LUMO+5s-LUMO+4i,52,0.04919448076923078,0.08508431411897349,0.384383
LUMO+7s-LUMO+4i,52,0.04918801923076924,0.08505302873287124,0.3835710000000001
LUMO+10s-HOMO-3i,52,0.05231469230769229,0.08451061846733089,0.31893400000000005
LUMO+9s-LUMO+4i,52,0.048266846153846146,0.08446981110090798,0.3828339999999999
LUMO+3s-HOMO-3i,52,0.051194673076923075,0.0838498956614873,0.315586
HOMOs-LUMO+4i,52,0.04725492307692309,0.08382268998010026,0.380392
HOMO-10s-LUMO+4i,52,0.04637038461538461,0.08322795907002369,0.378209
HOMO-9s-LUMO+4i,52,0.045866884615384615,0.08293331896284091,0.3763500000000001
HOMO-6s-LUMO+4i,52,0.04580926923076923,0.08289825252148193,0.376285
HOMO-1s-LUMO+4i,52,0.04448715384615384,0.08205699033293873,0.37577900000000003
HOMO-7s-LUMO+4i,52,0.04434130769230768,0.08196838495443509,0.37343299999999996
HOMO-2s-LUMO+4i,52,0.044259230769230766,0.08191745856113569,0.375069
HOMO-5s-LUMO+4i,52,0.043676923076923085,0.08159267616383792,0.380233
LUMO+2s-HOMO-3i,52,0.04799234615384616,0.08121807814932111,0.311986
HOMO-8s-LUMO+4i,52,0.042558134615384616,0.08081402338025157,0.37131400000000003
LUMO+1s-HOMO-3i,52,0.04747748076923078,0.08071314016138599,0.31019100000000005
HOMO-3s-LUMO+4i,52,0.04154940384615384,0.080175114638689,0.37033299999999997
LUMOs-HOMO-3i,52,0.04663313461538461,0.0799015381098945,0.313531
HOMO-4s-LUMO+4i,52,0.04066317307692308,0.07951143198828028,0.375792
HOMO-4s-HOMO-1i,52,0.041015346153846124,0.07412360242034402,0.29028
HOMO-3s-HOMO-1i,52,0.03768976923076924,0.07252862445693688,0.279981
HOMO-5s-HOMO-1i,52,0.039254134615384614,0.07211488513622924,0.284866
HOMO-8s-HOMO-1i,52,0.03763811538461539,0.07196661863295745,0.278098
HOMO-4s-HOMO-2i,52,0.05282538461538455,0.07175344740578934,0.239329
LUMOs-LUMO+2i,52,0.06578013461538462,0.07134461963636567,0.118475
HOMO-2s-HOMO-1i,52,0.03800271153846156,0.07127587614940546,0.277742
HOMO-1s-HOMO-1i,52,0.03807567307692309,0.07121911371375719,0.277996
HOMO-7s-HOMO-1i,52,0.03793875000000001,0.07110585842966269,0.27547
